incident_id,incident_datetime,latitude,longitude
834061603,02/07/2018 07:03:10 AM,37.37387737891906,-121.89307615290066
834061356,02/07/2018 02:27:57 PM,37.32292915953065,-122.03946887943572
834060070,02/10/2018 07:12:59 AM,37.393807500203756,-121.86700897465364
834060058,02/10/2018 08:26:14 AM,37.37387737891906,-121.89307615290066
834060044,02/10/2018 09:12:56 AM,37.335943294305174,-122.08810370933857
834060002,02/10/2018 11:09:50 AM,37.33454980557062,-122.08532211607576
834059916,02/10/2018 01:53:54 PM,37.33454980557062,-122.08532211607576
834210650,02/14/2018 10:34:01 AM,37.33047991412828,-122.02627819611394
834145972,02/13/2018 01:22:02 PM,37.37230582348845,-122.16270213834923
834238389,02/14/2018 07:11:23 PM,37.323465190407155,-121.92274674605551
834249894,02/14/2018 10:50:49 PM,37.37825142798203,-121.82617928112906
834306295,02/15/2018 07:05:36 PM,37.321694425721695,-121.92921328562795
834338825,02/16/2018 08:41:55 AM,37.352524632047256,-122.10758708184031
834637184,02/19/2018 01:17:41 PM,37.35578280156891,-122.13556347587065
834660259,02/19/2018 06:42:09 PM,37.319894241513616,-121.92996987849293
834831135,02/21/2018 04:44:49 PM,37.323465190407155,-121.92274674605551
834902785,02/22/2018 10:29:15 AM,37.31593510758621,-122.069313733345
834060788,02/08/2018 04:00:06 PM,37.32698295678416,-121.92666598767885
834059610,02/11/2018 10:19:55 AM,37.316243520627935,-121.93065662193621
834059569,02/11/2018 12:09:47 PM,37.3376909838982,-122.08906968633957
834059542,02/11/2018 01:21:52 PM,37.38488473057824,-122.18804251605305
835158315,02/25/2018 08:27:26 AM,37.33454980557062,-122.08532211607576
835284773,02/26/2018 05:21:32 PM,37.280922855262325,-121.99326396229706
835284751,02/26/2018 06:20:58 PM,37.32663256105288,-122.04381024779528
835402413,02/27/2018 03:28:11 PM,37.324663812079045,-122.05040779880976
835483994,02/28/2018 12:15:52 PM,37.2558369716473,-122.03561394816424
835483965,02/28/2018 01:32:35 PM,37.32707510640196,-122.0404485816048
834458868,02/17/2018 07:27:06 AM,37.321694425721695,-121.92921328562795
834466614,02/17/2018 10:30:55 AM,37.33454980557062,-122.08532211607576
834466565,02/17/2018 12:31:33 PM,37.352487328827436,-122.13569777592329
834473516,02/17/2018 02:33:27 PM,37.352487328827436,-122.13569777592329
835795860,03/02/2018 03:05:34 PM,37.32623653826993,-122.0052103028882
835795820,03/02/2018 04:41:46 PM,37.33162400852236,-122.06799209462878
835859664,03/03/2018 10:05:26 AM,37.250527694658324,-122.0189430953808
835859631,03/03/2018 12:42:08 PM,37.32292403887193,-122.04507501126251
835859614,03/03/2018 01:25:39 PM,37.379053896573616,-121.82078979373985
835894780,03/03/2018 09:02:08 PM,37.19975045873049,-121.99511282985952
834060514,02/09/2018 09:04:30 AM,37.36159810732357,-122.02364491026958
834060500,02/09/2018 09:28:47 AM,37.322966699072545,-122.01848929231195
834060498,02/09/2018 09:29:29 AM,37.265026909565,-122.03109429312435
834060497,02/09/2018 09:30:01 AM,37.319986321401295,-121.92556945471372
834060474,02/09/2018 10:18:08 AM,37.322966699072545,-122.01848929231195
834060390,02/09/2018 01:21:49 PM,37.36159810732357,-122.02364491026958
834060275,02/09/2018 05:29:26 PM,37.37211317561428,-122.12669726397068
835922442,03/04/2018 12:17:00 PM,37.31317023309197,-122.01240967807765
835929616,03/04/2018 01:04:44 PM,37.3376909838982,-122.08906968633957
835941701,03/04/2018 05:51:45 PM,37.367327932723626,-121.81662491690905
836165221,03/05/2018 06:34:45 AM,37.30073364743947,-122.03406053917485
836348908,03/05/2018 12:03:14 PM,37.37824179760956,-122.13261333909912
836423807,03/06/2018 01:37:03 PM,37.32347784046126,-121.92577362906627
836433267,03/06/2018 05:14:08 PM,37.257569710273316,-122.04004811448404
836574362,03/08/2018 07:55:07 AM,37.31493528754397,-121.93094108949506
836663472,03/09/2018 08:17:07 AM,37.319901564035675,-121.92914460950364
836718285,03/09/2018 10:32:46 AM,37.35701462465792,-122.0929905751049
836839900,03/09/2018 06:16:17 PM,37.329438364979616,-122.07427533194205
836839877,03/09/2018 07:02:48 PM,37.30558595859184,-122.04045277071691
836885620,03/10/2018 02:13:40 PM,37.370283126008296,-121.8237320142624
836894564,03/10/2018 04:14:13 PM,37.26995018800279,-122.01583186269804
836955437,03/11/2018 05:44:32 PM,37.35245164325062,-122.13707332556015
836955431,03/11/2018 06:10:47 PM,37.33151258091967,-122.04869239751541
836967592,03/11/2018 06:24:04 PM,37.41536054966027,-121.84429738738014
837459632,03/12/2018 02:29:06 PM,37.31663660714979,-122.00560161978554
837472446,03/12/2018 06:32:13 PM,37.37487506195655,-122.13253974007284
836946978,03/11/2018 12:43:48 PM,37.329802119888136,-122.07827310125252
837870872,03/13/2018 09:27:50 AM,37.31561456078652,-122.05462210983241
837956684,03/13/2018 03:37:38 PM,37.258640601080906,-121.92670269773599
837996512,03/14/2018 02:48:28 AM,37.32628005247229,-122.05219550994968
838097203,03/14/2018 03:51:31 PM,37.33162400852236,-122.06799209462878
838172746,03/15/2018 10:59:54 AM,37.316413319642294,-122.05735562721382
838270121,03/16/2018 01:48:18 PM,37.33047991412828,-122.02627819611394
838330963,03/17/2018 10:14:31 AM,37.37325543783052,-122.12851186922207
838393621,03/18/2018 07:49:22 AM,37.3254011342592,-121.92663579089569
838401883,03/18/2018 11:31:30 AM,37.32663256105288,-122.04381024779528
838401880,03/18/2018 11:40:14 AM,37.33454980557062,-122.08532211607576
838411367,03/18/2018 04:35:16 PM,37.22228775595038,-121.78075714474872
