incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
834034945,S173620138,12/28/2017 10:20:36 AM,CHILD STEALING,Call Type: 277    <br>Description: CHILD STEALING<br>Final Disposition: R,,1700 Block MARIGOLD CT,,SANTA CLARA COUNTY,CA,,,37.36051280946532,-121.85972406405287,02/12/2018 09:20:10 PM,02/13/2018 11:48:50 AM,POINT (-121.859724064053 37.3605128094653),10,Thursday,Kidnapping
868867127,S182430398,08/31/2018 08:17:04 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: IN,,1700 Block MEADOW L,,SANTA CLARA COUNTY,CA,,,37.3336581,-121.8907041,09/01/2018 09:35:09 AM,09/05/2018 05:21:44 PM,POINT (-121.8907041 37.3336581),20,Friday,Kidnapping
879424210,S182720036,09/29/2018 03:35:31 AM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,14100 Block JERILYN DR,,SANTA CLARA COUNTY,CA,,,37.361872033416574,-121.81986659631546,09/29/2018 01:47:34 PM,10/06/2018 09:26:55 AM,POINT (-121.81986659631546 37.36187203341658),3,Saturday,Kidnapping
877867622,S182590032,09/16/2018 01:43:26 AM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: NR,,100 Block BLOCK PACHECO PASS HWY,,SANTA CLARA COUNTY,CA,,,36.98524002247004,-121.38144642855131,09/16/2018 09:16:53 AM,09/20/2018 09:41:16 PM,POINT (-121.38144642855133 36.98524002247004),1,Sunday,Kidnapping
909031394,S190640300,03/05/2019 01:55:30 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: NR,,700 Block E SANTA CLARA ST,,SANTA CLARA COUNTY,CA,,,37.34299238849989,-121.87512708731022,03/05/2019 10:32:48 PM,03/12/2019 05:54:37 PM,POINT (-121.87512708731022 37.34299238849988),13,Tuesday,Kidnapping
909048543,S190640329,03/05/2019 02:44:56 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,700 Block E SANTA CLARA ST,,SANTA CLARA COUNTY,CA,,,37.34299238849989,-121.87512708731022,03/06/2019 02:41:45 AM,03/12/2019 05:54:19 PM,POINT (-121.87512708731022 37.34299238849988),14,Tuesday,Kidnapping
910331318,S190760307,03/17/2019 05:33:08 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,MOORPARK AV,,SANTA CLARA COUNTY,CA,,,37.316243520627935,-121.93065662193621,03/18/2019 01:57:21 AM,03/24/2019 09:28:27 PM,POINT (-121.9306566219362 37.31624352062794),17,Sunday,Kidnapping
915061022,S191160227,04/26/2019 02:34:16 PM,CHILD STEALING,Call Type: 277    <br>Description: CHILD STEALING<br>Final Disposition: R,,300 Block ELAN VILLAGE LN,,SANTA CLARA COUNTY,CA,,,37.40187019015144,-121.92510165080536,04/26/2019 09:45:25 PM,05/03/2019 05:21:41 PM,POINT (-121.92510165080535 37.40187019015144),14,Friday,Kidnapping
910495765,S190770272,03/18/2019 02:39:23 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,400 Block RAYMOND AV,,SANTA CLARA COUNTY,CA,,,37.31991661056275,-121.92745968700086,03/19/2019 01:41:13 AM,03/25/2019 09:24:49 PM,POINT (-121.92745968700088 37.31991661056275),14,Monday,Kidnapping
912028740,S190860355,03/27/2019 06:11:18 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,10700 Block N BLANEY AV,,SANTA CLARA COUNTY,CA,,,37.33400245645513,-122.02218785605247,03/28/2019 05:24:38 AM,04/04/2019 02:30:48 AM,POINT (-122.02218785605247 37.33400245645513),18,Wednesday,Kidnapping
910547746,S190780104,03/19/2019 09:58:16 AM,CHILD STEALING,Call Type: 277    <br>Description: CHILD STEALING<br>Final Disposition: R,,3000 Block PEPPERMINT DR,,SANTA CLARA COUNTY,CA,,,37.331081405456814,-121.79490123518984,03/19/2019 05:31:24 PM,03/26/2019 01:45:08 PM,POINT (-121.79490123518985 37.331081405456814),9,Tuesday,Kidnapping
918444315,S191320349,05/12/2019 08:26:46 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,1 Block BLOCK S BASCOM AV,,SANTA CLARA COUNTY,CA,,,37.31493528754397,-121.93094108949506,05/13/2019 05:17:11 AM,05/21/2019 11:21:39 AM,POINT (-121.93094108949506 37.31493528754397),20,Sunday,Kidnapping
916249435,S191230288,05/03/2019 03:55:16 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,12800 Block COLUMBET AV,,SANTA CLARA COUNTY,CA,,,37.08641239255967,-121.58809298140508,05/04/2019 03:36:46 AM,05/11/2019 12:27:10 AM,POINT (-121.58809298140508 37.08641239255967),15,Friday,Kidnapping
922542369,S191600469,06/09/2019 10:52:47 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,3200 Block EAST HILLS DR,,SANTA CLARA COUNTY,CA,,,37.36437992487332,-121.82108091615773,06/10/2019 09:33:43 AM,06/17/2019 05:15:00 AM,POINT (-121.82108091615771 37.36437992487332),22,Sunday,Kidnapping
913353246,S190990253,04/09/2019 01:45:45 PM,CHILD STEALING,Call Type: 277    <br>Description: CHILD STEALING<br>Final Disposition: R,,1900 Block BAYWOOD SQ,,SANTA CLARA COUNTY,CA,,,37.410116899210536,-121.8609719203896,04/10/2019 12:54:58 AM,04/16/2019 05:11:12 PM,POINT (-121.8609719203896 37.41011689921054),13,Tuesday,Kidnapping
910226159,S190750045,03/16/2019 03:47:18 AM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,1700 Block SCOTT ST,,SANTA CLARA COUNTY,CA,,,37.319781013041,-121.92257343826701,03/16/2019 03:35:54 PM,03/23/2019 09:59:48 AM,POINT (-121.922573438267 37.319781013040995),3,Saturday,Kidnapping
923280087,S191690040,06/18/2019 02:41:51 AM,CHILD STEALING,Call Type: 277    <br>Description: CHILD STEALING<br>Final Disposition: NR,,3200 Block TRISTIAN AV,,SANTA CLARA COUNTY,CA,,,37.38141755527405,-121.8369056576375,06/18/2019 09:48:50 AM,06/25/2019 09:12:15 AM,POINT (-121.8369056576375 37.38141755527405),2,Tuesday,Kidnapping
920598721,S191480317,05/28/2019 02:20:13 PM,CHILD STEALING,Call Type: 277    <br>Description: CHILD STEALING<br>Final Disposition: R,,2100 Block STORY RD,,SANTA CLARA COUNTY,CA,,,37.34514736025868,-121.83412366515087,05/28/2019 09:25:20 PM,06/04/2019 05:27:41 AM,POINT (-121.83412366515087 37.34514736025868),14,Tuesday,Kidnapping
924658698,S191840401,07/03/2019 06:50:58 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: R,,1 Block BLOCK S BASCOM AV,,SANTA CLARA COUNTY,CA,,,37.31493528754397,-121.93094108949506,07/04/2019 05:07:13 AM,07/11/2019 01:14:15 AM,POINT (-121.93094108949506 37.31493528754397),18,Wednesday,Kidnapping
923008692,S191660012,06/15/2019 12:32:07 AM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: N,,13500 Block MONTEREY HWY,,SANTA CLARA COUNTY,CA,,,37.08824123758206,-121.61119275613936,06/15/2019 01:09:34 PM,06/22/2019 05:11:23 AM,POINT (-121.61119275613935 37.08824123758206),0,Saturday,Kidnapping
833993319,S172180252,08/06/2017 04:57:34 PM,KIDNAPPING,Call Type: 207    <br>Description: KIDNAPPING<br>Final Disposition: NR,,1 Block BLOCK TULLY RD,,SANTA CLARA COUNTY,CA,,,37.30368880447606,-121.8526388915992,02/12/2018 08:56:45 PM,02/13/2018 11:37:36 AM,POINT (-121.852638891599 37.3036888044761),16,Sunday,Kidnapping
